age,gender_code,age_group_18-25,age_group_26-35,age_group_36-45,age_group_46-55
29,1,0,1,0,0
41,0,0,0,1,0
38,0,0,0,1,0
18,1,0,0,0,0
37,0,0,0,1,0
35,1,0,1,0,0
33,1,0,1,0,0
39,0,0,0,1,0
39,1,0,0,1,0
31,1,0,1,0,0
36,0,0,0,1,0
41,0,0,0,1,0
24,0,1,0,0,0
30,0,0,1,0,0
31,1,0,1,0,0
26,0,0,1,0,0
23,0,1,0,0,0
45,1,0,0,1,0
52,1,0,0,0,1
26,1,0,1,0,0
29,0,0,1,0,0
31,0,0,1,0,0
42,1,0,0,1,0
25,0,1,0,0,0
27,1,0,1,0,0
42,1,0,0,1,0
29,0,0,1,0,0
25,1,1,0,0,0
27,0,0,1,0,0
34,0,0,1,0,0
47,0,0,0,0,1
29,0,0,1,0,0
38,1,0,0,1,0
31,1,0,1,0,0
32,1,0,1,0,0
48,0,0,0,0,1
33,0,0,1,0,0
27,1,0,1,0,0
28,0,0,1,0,0
39,0,0,0,1,0
29,0,0,1,0,0
28,0,0,1,0,0
21,1,1,0,0,0
27,1,0,1,0,0
43,1,0,0,1,0
34,1,0,1,0,0
31,0,0,1,0,0
29,0,0,1,0,0
45,1,0,0,1,0
37,0,0,0,1,0
30,0,0,1,0,0
25,1,1,0,0,0
22,1,1,0,0,0
27,0,0,1,0,0
19,1,1,0,0,0
44,1,0,0,1,0
21,1,1,0,0,0
27,0,0,1,0,0
33,1,0,1,0,0
49,0,0,0,0,1
41,0,0,0,1,0
44,1,0,0,1,0
32,1,0,1,0,0
47,1,0,0,0,1
35,1,0,1,0,0
43,1,0,0,1,0
40,0,0,0,1,0
51,0,0,0,0,1
28,1,0,1,0,0
23,0,1,0,0,0
